bucket,pdf
265,1.4075527625292896E-4
266,1.1591610985535325E-4
267,1.1591610985535325E-4
268,1.1591610985535325E-4
269,9.935666559030279E-5
270,1.4903499838545418E-4
271,1.4903499838545418E-4
272,8.279722132525233E-5
273,1.1591610985535325E-4
274,1.2419583198787848E-4
275,9.107694345777755E-5
276,1.4903499838545418E-4
277,9.107694345777755E-5
278,7.451749919272709E-5
279,1.2419583198787848E-4
280,7.451749919272709E-5
281,6.623777706020187E-5
282,1.7387416478302988E-4
283,1.4903499838545418E-4
284,8.279722132525233E-5
285,1.0763638772282802E-4
286,1.2419583198787848E-4
287,1.573147205179794E-4
288,9.935666559030279E-5
289,9.935666559030279E-5
290,1.0763638772282802E-4
291,7.451749919272709E-5
292,7.451749919272709E-5
293,1.4075527625292896E-4
294,1.1591610985535325E-4
295,1.4075527625292896E-4
296,1.4903499838545418E-4
297,7.451749919272709E-5
298,1.4075527625292896E-4
299,1.1591610985535325E-4
300,1.1591610985535325E-4
301,9.107694345777755E-5
302,9.935666559030279E-5
303,9.935666559030279E-5
304,1.0763638772282802E-4
305,9.935666559030279E-5
306,1.0763638772282802E-4
307,9.935666559030279E-5
308,9.107694345777755E-5
309,1.4903499838545418E-4
310,8.279722132525233E-5
311,9.107694345777755E-5
312,9.935666559030279E-5
313,7.451749919272709E-5
314,7.451749919272709E-5
315,6.623777706020187E-5
316,9.107694345777755E-5
317,1.0763638772282802E-4
318,8.279722132525233E-5
319,9.107694345777755E-5
320,7.451749919272709E-5
321,4.9678332795151396E-5
322,6.623777706020187E-5
323,1.4075527625292896E-4
324,6.623777706020187E-5
325,6.623777706020187E-5
326,4.9678332795151396E-5
327,1.1591610985535325E-4
328,8.279722132525233E-5
329,1.7387416478302988E-4
330,6.623777706020187E-5
331,5.795805492767663E-5
332,9.107694345777755E-5
333,5.795805492767663E-5
334,8.279722132525233E-5
335,1.1591610985535325E-4
336,1.0763638772282802E-4
337,9.935666559030279E-5
338,5.795805492767663E-5
339,1.4903499838545418E-4
340,9.107694345777755E-5
341,4.1398610662626164E-5
342,6.623777706020187E-5
343,1.3247555412040373E-4
344,6.623777706020187E-5
345,1.0763638772282802E-4
346,8.279722132525233E-5
347,9.107694345777755E-5
348,9.107694345777755E-5
349,7.451749919272709E-5
350,8.279722132525233E-5
351,5.795805492767663E-5
352,8.279722132525233E-5
353,6.623777706020187E-5
354,5.795805492767663E-5
355,6.623777706020187E-5
356,9.107694345777755E-5
357,1.6559444265050466E-4
358,9.935666559030279E-5
359,7.451749919272709E-5
360,4.1398610662626164E-5
361,9.107694345777755E-5
362,1.3247555412040373E-4
363,8.279722132525233E-5
364,7.451749919272709E-5
365,5.795805492767663E-5
366,9.935666559030279E-5
367,5.795805492767663E-5
368,9.107694345777755E-5
369,9.935666559030279E-5
370,7.451749919272709E-5
371,9.935666559030279E-5
372,5.795805492767663E-5
373,4.9678332795151396E-5
374,4.9678332795151396E-5
375,6.623777706020187E-5
376,7.451749919272709E-5
377,9.107694345777755E-5
378,8.279722132525233E-5
379,9.935666559030279E-5
380,5.795805492767663E-5
381,9.107694345777755E-5
382,7.451749919272709E-5
383,6.623777706020187E-5
384,6.623777706020187E-5
385,1.0763638772282802E-4
386,5.795805492767663E-5
387,7.451749919272709E-5
388,8.279722132525233E-5
389,1.1591610985535325E-4
390,7.451749919272709E-5
391,5.795805492767663E-5
392,2.4839166397575698E-5
393,8.279722132525233E-5
394,8.279722132525233E-5
395,7.451749919272709E-5
396,6.623777706020187E-5
397,6.623777706020187E-5
398,7.451749919272709E-5
399,6.623777706020187E-5
400,5.795805492767663E-5
401,2.4839166397575698E-5
402,9.107694345777755E-5
403,5.795805492767663E-5
404,4.9678332795151396E-5
405,4.9678332795151396E-5
406,7.451749919272709E-5
407,1.1591610985535325E-4
408,5.795805492767663E-5
409,4.9678332795151396E-5
410,4.9678332795151396E-5
411,4.9678332795151396E-5
412,6.623777706020187E-5
413,7.451749919272709E-5
414,6.623777706020187E-5
415,1.4903499838545418E-4
416,1.2419583198787848E-4
417,9.107694345777755E-5
418,7.451749919272709E-5
419,3.311888853010093E-5
420,4.9678332795151396E-5
421,4.9678332795151396E-5
422,6.623777706020187E-5
423,7.451749919272709E-5
424,1.0763638772282802E-4
425,5.795805492767663E-5
426,9.107694345777755E-5
427,8.279722132525233E-5
428,5.795805492767663E-5
429,1.0763638772282802E-4
430,7.451749919272709E-5
431,6.623777706020187E-5
432,3.311888853010093E-5
433,6.623777706020187E-5
434,7.451749919272709E-5
435,6.623777706020187E-5
436,7.451749919272709E-5
437,3.311888853010093E-5
438,6.623777706020187E-5
439,4.9678332795151396E-5
440,7.451749919272709E-5
441,7.451749919272709E-5
442,4.9678332795151396E-5
443,7.451749919272709E-5
444,9.107694345777755E-5
445,4.9678332795151396E-5
446,5.795805492767663E-5
447,7.451749919272709E-5
448,3.311888853010093E-5
449,7.451749919272709E-5
450,8.279722132525233E-5
451,4.9678332795151396E-5
452,4.9678332795151396E-5
453,6.623777706020187E-5
454,6.623777706020187E-5
455,9.107694345777755E-5
456,4.1398610662626164E-5
457,5.795805492767663E-5
458,6.623777706020187E-5
459,9.107694345777755E-5
460,5.795805492767663E-5
461,7.451749919272709E-5
462,4.1398610662626164E-5
463,3.311888853010093E-5
464,4.9678332795151396E-5
465,6.623777706020187E-5
466,4.1398610662626164E-5
467,4.9678332795151396E-5
468,5.795805492767663E-5
469,9.935666559030279E-5
470,5.795805492767663E-5
471,1.6559444265050466E-5
472,7.451749919272709E-5
473,7.451749919272709E-5
474,2.4839166397575698E-5
475,5.795805492767663E-5
476,6.623777706020187E-5
477,5.795805492767663E-5
478,8.279722132525233E-5
479,3.311888853010093E-5
480,5.795805492767663E-5
481,6.623777706020187E-5
482,6.623777706020187E-5
483,6.623777706020187E-5
484,1.6559444265050466E-5
485,6.623777706020187E-5
486,4.9678332795151396E-5
487,5.795805492767663E-5
488,5.795805492767663E-5
489,1.0763638772282802E-4
490,4.1398610662626164E-5
491,4.9678332795151396E-5
492,2.4839166397575698E-5
493,2.4839166397575698E-5
494,3.311888853010093E-5
495,4.9678332795151396E-5
496,3.311888853010093E-5
497,5.795805492767663E-5
498,4.9678332795151396E-5
499,4.1398610662626164E-5
500,5.795805492767663E-5
501,4.1398610662626164E-5
502,8.279722132525233E-5
503,4.9678332795151396E-5
504,7.451749919272709E-5
505,4.1398610662626164E-5
506,4.9678332795151396E-5
507,6.623777706020187E-5
508,4.1398610662626164E-5
509,3.311888853010093E-5
510,6.623777706020187E-5
511,5.795805492767663E-5
512,2.4839166397575698E-5
513,4.9678332795151396E-5
514,3.311888853010093E-5
515,6.623777706020187E-5
516,4.1398610662626164E-5
517,2.4839166397575698E-5
518,4.1398610662626164E-5
519,5.795805492767663E-5
520,2.4839166397575698E-5
521,3.311888853010093E-5
522,5.795805492767663E-5
523,4.1398610662626164E-5
524,3.311888853010093E-5
525,4.9678332795151396E-5
526,4.9678332795151396E-5
527,3.311888853010093E-5
528,5.795805492767663E-5
529,3.311888853010093E-5
530,3.311888853010093E-5
531,1.6559444265050466E-5
532,4.1398610662626164E-5
533,2.4839166397575698E-5
534,4.9678332795151396E-5
535,2.4839166397575698E-5
536,3.311888853010093E-5
537,4.9678332795151396E-5
538,6.623777706020187E-5
539,4.1398610662626164E-5
540,5.795805492767663E-5
541,4.1398610662626164E-5
542,4.1398610662626164E-5
543,4.1398610662626164E-5
544,4.1398610662626164E-5
545,4.9678332795151396E-5
546,4.1398610662626164E-5
547,2.4839166397575698E-5
548,1.6559444265050466E-5
549,4.1398610662626164E-5
550,3.311888853010093E-5
551,2.4839166397575698E-5
552,3.311888853010093E-5
553,2.4839166397575698E-5
554,4.9678332795151396E-5
555,4.9678332795151396E-5
556,2.4839166397575698E-5
557,8.279722132525233E-6
558,5.795805492767663E-5
559,2.4839166397575698E-5
560,3.311888853010093E-5
561,3.311888853010093E-5
562,5.795805492767663E-5
563,4.1398610662626164E-5
564,3.311888853010093E-5
565,5.795805492767663E-5
566,4.1398610662626164E-5
567,4.1398610662626164E-5
568,1.6559444265050466E-5
569,4.1398610662626164E-5
570,6.623777706020187E-5
571,2.4839166397575698E-5
572,5.795805492767663E-5
573,8.279722132525233E-5
574,6.623777706020187E-5
575,2.4839166397575698E-5
576,2.4839166397575698E-5
577,3.311888853010093E-5
578,4.9678332795151396E-5
579,3.311888853010093E-5
580,6.623777706020187E-5
581,4.1398610662626164E-5
582,2.4839166397575698E-5
583,2.4839166397575698E-5
584,3.311888853010093E-5
585,5.795805492767663E-5
586,9.107694345777755E-5
587,4.1398610662626164E-5
588,7.451749919272709E-5
589,1.6559444265050466E-5
590,3.311888853010093E-5
591,3.311888853010093E-5
592,9.107694345777755E-5
593,4.9678332795151396E-5
594,4.9678332795151396E-5
595,3.311888853010093E-5
596,3.311888853010093E-5
597,2.4839166397575698E-5
598,2.4839166397575698E-5
599,6.623777706020187E-5
600,2.4839166397575698E-5
601,3.311888853010093E-5
602,6.623777706020187E-5
603,4.9678332795151396E-5
604,4.1398610662626164E-5
605,6.623777706020187E-5
606,3.311888853010093E-5
608,7.451749919272709E-5
609,1.6559444265050466E-5
610,4.9678332795151396E-5
611,4.1398610662626164E-5
612,3.311888853010093E-5
613,1.6559444265050466E-5
614,5.795805492767663E-5
615,6.623777706020187E-5
616,4.1398610662626164E-5
617,3.311888853010093E-5
618,5.795805492767663E-5
619,3.311888853010093E-5
620,1.6559444265050466E-5
621,2.4839166397575698E-5
622,2.4839166397575698E-5
623,7.451749919272709E-5
625,1.6559444265050466E-5
626,4.9678332795151396E-5
627,2.4839166397575698E-5
628,4.1398610662626164E-5
629,3.311888853010093E-5
630,1.6559444265050466E-5
631,5.795805492767663E-5
632,3.311888853010093E-5
633,4.9678332795151396E-5
634,3.311888853010093E-5
635,2.4839166397575698E-5
636,4.1398610662626164E-5
637,2.4839166397575698E-5
638,4.9678332795151396E-5
639,6.623777706020187E-5
640,2.4839166397575698E-5
641,4.9678332795151396E-5
642,4.9678332795151396E-5
643,4.1398610662626164E-5
644,2.4839166397575698E-5
645,4.1398610662626164E-5
646,4.9678332795151396E-5
647,3.311888853010093E-5
648,4.1398610662626164E-5
649,3.311888853010093E-5
650,4.1398610662626164E-5
651,3.311888853010093E-5
652,5.795805492767663E-5
653,4.1398610662626164E-5
654,3.311888853010093E-5
655,6.623777706020187E-5
656,4.1398610662626164E-5
657,6.623777706020187E-5
658,2.4839166397575698E-5
659,4.1398610662626164E-5
660,2.4839166397575698E-5
661,5.795805492767663E-5
662,4.1398610662626164E-5
663,2.4839166397575698E-5
664,3.311888853010093E-5
665,4.9678332795151396E-5
666,1.6559444265050466E-5
667,4.1398610662626164E-5
668,2.4839166397575698E-5
669,4.9678332795151396E-5
670,1.6559444265050466E-5
671,4.1398610662626164E-5
672,2.4839166397575698E-5
673,8.279722132525233E-6
674,4.9678332795151396E-5
675,5.795805492767663E-5
676,4.9678332795151396E-5
677,4.9678332795151396E-5
678,2.4839166397575698E-5
679,3.311888853010093E-5
680,4.1398610662626164E-5
681,3.311888853010093E-5
682,4.9678332795151396E-5
683,5.795805492767663E-5
